"","ERNnem","Host","Nematode","NematodeOrder","NematodeFamily","NematodeStrain","StageInfected","TissueInfected","FieldOrLab","Country","SoilType","AssociatedBacterium","IntermediateHost","CreationDate","ModificationDate"
"1",32,"Bibio ferruginatus","Steinernema affinis","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Denmark","grain and others","Xenorhabdus bovienii","none","5/8/2097","9/21/2000"
"2",33,"Bibio hortulana","Steinernema affinis","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Denmark","grain and others","Xenorhabdus bovienii","none","5/12/2097","2/23/2000"
"3",34,"Dilophus vulgaris","Steinernema affinis","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Denmark","grain and others","Xenorhabdus bovienii","none","5/12/2097","2/12/2099"
"4",35,"Helina duplicata","Steinernema affinis","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Germany","sand / pasture","Xenorhabdus bovienii","none","5/12/2097","2/12/2099"
"5",36,"Anomala dubia","Steinernema arenarium","Rhabditida","Steinernematidae","Riazan","Larva","Hemocoel","Field","Russia","","Xenorhabdus sp.","none","5/12/2097","2/12/2099"
"6",37,"Anomala dubia","Steinernema arenarium","Rhabditida","Steinernematidae","Voronez","Larva","Hemocoel","Field","Russia","","Xenorhabdus sp.","none","5/12/2097","2/12/2099"
"7",38,"Melolontha hippocastani","Steinernema arenarium","Rhabditida","Steinernematidae","arenaria (syn.)","Larva","Hemocoel","Field","Russia","","Xenorhabdus sp.","none","5/14/2097","2/12/2099"
"8",39,"Agriotes lineatus","Steinernema carpocapsae","Rhabditida","Steinernematidae","Agriotos","Larva","Hemocoel","Field","Russia","","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099"
"9",40,"Popillia japonica","Steinernema carpocapsae","Rhabditida","Steinernematidae","Chresima (syn.)","Larva","Hemocoel","Field","USA","","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099"
"10",41,"Popillia japonica","Steinernema carpocapsae","Rhabditida","Steinernematidae","unknown","Larva","Hemocoel","Field","USA","golfcourse, sports fields, turf, potted yew","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099"
"11",42,"Graphognathus leucoloma","Steinernema carpocapsae","Rhabditida","Steinernematidae","Argentinian","Larva","Hemocoel","Field","Argentina","","Xenorhabdus nematophilus","none","5/14/2097","12/7/2000"
"12",43,"Otiorhynchus sulcatus","Steinernema carpocapsae","Rhabditida","Steinernematidae","Breton","Larva","Hemocoel","Field","France","","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099"
"13",44,"Cleonis mendicus","Steinernema carpocapsae","Rhabditida","Steinernematidae","menozzi (syn.)","Larva","Hemocoel","Field","Italy","","Xenorhabdus nematophilus","none","5/14/2097","2/5/2000"
"14",45,"Hylobius pales","Steinernema carpocapsae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Sweden","coniferous forest","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099"
"15",46,"Vespula sp.","Steinernema carpocapsae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Tasmania","","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099"
"16",229,"Cephalcia lariciphila","Steinernema carpocapsae","Rhabditida","Steinernematidae","not maintained","Pupa","Hemocoel","Field","United Kingdom","coniferous forest (larch)","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099"
"17",230,"Rhagoletis pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Rhagoletis","Pupa","Hemocoel","Field","USA","orchards","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099"
"18",47,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","DD-136","Larva","Hemocoel","Field","USA","orchards","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099"
"19",48,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Sierra","Larva","Hemocoel","Field","USA","","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099"
"20",49,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Mexican","Larva","Hemocoel","Field","Mexico","","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099"
"21",50,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","Czechoslovakian","Larva","Hemocoel","Field","Czech Republic","","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099"
"22",51,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Poland","orchards","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099"
"23",52,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","XÐI","Larva","Hemocoel","Field","Poland, Italy","orchards","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099"
"24",53,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Italy","orchards","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099"
"25",54,"Cydia pomonella","Steinernema carpocapsae","Rhabditida","Steinernematidae","DDÐ517","Larva","Hemocoel","Field","","","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099"
"26",55,"Agrotis segetum","Steinernema carpocapsae","Rhabditida","Steinernematidae","XÐIII","Larva","Hemocoel","Field","Poland","farmed land","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099"
"27",225,"Mamestra brassicae","Steinernema carpocapsae","Rhabditida","Steinernematidae","not maintained","LarvaPupa","Hemocoel","Field","Poland","vegetables","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099"
"28",56,"Helicoverpa armigera","Steinernema carpocapsae","Rhabditida","Steinernematidae","chresima (syn.)","Larva","Hemocoel","Field","USA","grain","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099"
"29",226,"Pieris brassicae","Steinernema carpocapsae","Rhabditida","Steinernematidae","XÐIV (Pieridarum)","LarvaPupa","Hemocoel","Field","Poland","vegetables","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099"
"30",57,"Vitacea polistiformis","Steinernema carpocapsae","Rhabditida","Steinernematidae","All","Larva","Hemocoel","Field","USA","","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099"
"31",58,"Semiothisa pumila","Steinernema carpocapsae","Rhabditida","Steinernematidae","semiothisae (syn.)","Larva","Hemocoel","Field","","","Xenorhabdus nematophilus","none","5/14/2097","2/12/2099"
"32",59,"Pardileus calceatus","Steinernema feltiae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","","","Xenorhabdus bovienii","none","5/14/2097","2/12/2099"
"33",60,"Selatosomus melancholicus","Steinernema feltiae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Russia","loamy sand / pasture","Xenorhabdus bovienii","none","5/14/2097","2/12/2099"
"34",61,"Pytho depressus","Steinernema feltiae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Russia","loamy sand","Xenorhabdus bovienii","none","5/14/2097","2/12/2099"
"35",62,"Rhagium inquisitor","Steinernema feltiae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Russia","loamy sand","Xenorhabdus bovienii","none","5/14/2097","2/12/2099"
"36",63,"Amphimallon solstitialis","Steinernema feltiae","Rhabditida","Steinernematidae","georgica (syn.)","Larva","Hemocoel","Field","","","Xenorhabdus bovienii","none","5/14/2097","2/12/2099"
"37",64,"Melolontha afflicta","Steinernema feltiae","Rhabditida","Steinernematidae","bothynoderi (syn.)","Larva","Hemocoel","Field","","","Xenorhabdus bovienii","none","5/14/2097","2/12/2099"
"38",65,"Onitis alexis","Steinernema feltiae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","","","Xenorhabdus bovienii","none","5/14/2097","2/12/2099"
"39",66,"Pentodon algerinum","Steinernema feltiae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","","","Xenorhabdus bovienii","none","5/14/2097","2/12/2099"
"40",67,"Capnodis tenebrionis","Steinernema feltiae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Spain","loamy sand / orchards","Xenorhabdus bovienii","none","5/14/2097","2/12/2099"
